info face="Steelflight" size=64 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=2,2
common lineHeight=72 base=56 scaleW=512 scaleH=512 pages=1 packed=0
page id=0 file="SNES2Font.png"
chars count=96
char id=32     x=121   y=367   width=0     height=0     xoffset=0     yoffset=56    xadvance=48    page=0 chnl=0 letter="space"
char id=33     x=306   y=324   width=9     height=41    xoffset=0     yoffset=15    xadvance=16    page=0 chnl=0 letter="!"
char id=34     x=479   y=324   width=25    height=17    xoffset=0     yoffset=15    xadvance=32    page=0 chnl=0 letter="""
char id=35     x=422   y=230   width=41    height=41    xoffset=0     yoffset=15    xadvance=48    page=0 chnl=0 letter="#"
char id=36     x=88    y=2     width=41    height=57    xoffset=0     yoffset=7     xadvance=48    page=0 chnl=0 letter="$"
char id=37     x=379   y=230   width=41    height=41    xoffset=0     yoffset=15    xadvance=48    page=0 chnl=0 letter="%"
char id=38     x=2     y=281   width=41    height=41    xoffset=0     yoffset=15    xadvance=48    page=0 chnl=0 letter="&"
char id=39     x=371   y=324   width=17    height=25    xoffset=0     yoffset=7     xadvance=24    page=0 chnl=0 letter="'"
char id=40     x=435   y=2     width=17    height=57    xoffset=0     yoffset=7     xadvance=24    page=0 chnl=0 letter="("
char id=41     x=454   y=2     width=17    height=57    xoffset=0     yoffset=7     xadvance=24    page=0 chnl=0 letter=")"
char id=42     x=328   y=230   width=49    height=41    xoffset=0     yoffset=15    xadvance=56    page=0 chnl=0 letter="*"
char id=43     x=174   y=324   width=41    height=41    xoffset=0     yoffset=15    xadvance=48    page=0 chnl=0 letter="+"
char id=44     x=21    y=367   width=17    height=17    xoffset=0     yoffset=47    xadvance=24    page=0 chnl=0 letter=","
char id=45     x=83    y=367   width=25    height=9     xoffset=0     yoffset=31    xadvance=32    page=0 chnl=0 letter="-"
char id=46     x=110   y=367   width=9     height=9     xoffset=0     yoffset=47    xadvance=16    page=0 chnl=0 letter="."
